"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abilene Christian University","1600 Campus Court, Abilene, Texas 79699","www.acu.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","City: Midsize","Yes","4367","3626","56%","NA","Fall 2007","$25,143","-","222178","00353700"
"Abraham Baldwin Agricultural College","2802 Moore Hwy, Tifton, Georgia 31793-2601","www.abac.edu","4-year, primarily associate's, Public","Less than one year certificate|Associate's degree|Bachelor's degree","Town: Distant","Yes","3233","3233","16%","29%","Fall 2007","$9,165","-","138558","00154100"
"Abraham Lincoln University","3530 Wilshire Blvd Ste 1430, Los Angeles, California 90010","www.alu.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","No","157","7","NA","NA","Fall 2007","NA","-","480444",""
"Academy College","1101 E. 78th Street, Suite 100, Minneapolis, Minnesota 55420-1554","www.academycollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","152","152","80%","NA","Fall 2007","$22,829","-","172866","02050300"
"Academy of Art University","79 New Montgomery, San Francisco, California 94105","www.academyart.edu","4-year, Private for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","Yes","17871","11801","32%","NA","Fall 2007","$26,905","-","108232","00753100"
"Academy of Couture Art","8484 Wilshire Blvd Suite #730, Beverly Hills, California 90211","www.academyofcoutureart.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","22","22","71%","14%","Fall 2007","$32,826","-","475635","04185500"
"Acupuncture and Massage College","10506 N Kendall Drive, Miami, Florida 33176","WWW.AMCOLLEGE.edu","4-year, Private for-profit","Less than one year certificate|Bachelor's degree|Master's degree","City: Small","No","172","27","38%","NA","Fall 2007","NA","-","439969","03414500"
"Adams State University","208 Edgemont Blvd, Alamosa, Colorado 81101","www.adams.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree","Town: Remote","Yes","3290","2418","23%","20%","Fall 2007","$11,293","-","126182","00134500"
"Adelphi University","South Ave, Garden City, New York 11530-0701","www.adelphi.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","7859","5103","63%","26%","Fall 2007","$24,833","-","188429","00266600"
"Adrian College","110 S Madison St, Adrian, Michigan 49221-2575","www.adrian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1807","1804","54%","NA","Fall 2007","$19,734","-","168528","00223400"
"Adventist University of Health Sciences","671 Winyah Drive, Orlando, Florida 32803","www.adu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","2671","2576","40%","27%","Fall 2007","$16,437","-","133872","03115500"
